Energy,IncidentSpectra
520.16,0
545.115907203907,0
570.071814407814,0
595.027721611722,0
619.983628815629,0
644.939536019536,0
669.895443223443,0
694.85135042735,0
719.807257631258,0
744.763164835165,0
769.719072039072,0
794.674979242979,0
819.630886446887,0
844.586793650794,0
869.542700854701,0
894.498608058608,0
919.454515262515,0
944.410422466422,0
969.36632967033,0
994.322236874237,0
1019.27814407814,0
1044.23405128205,0
1069.18995848596,0
1094.14586568987,0
1119.10177289377,0
1144.05768009768,0
1169.01358730159,0
1193.96949450549,0
1218.9254017094,0
1243.88130891331,0
1268.83721611722,0
1293.79312332112,0
1318.74903052503,0
1343.70493772894,0
1368.66084493285,0
1393.61675213675,0
1418.57265934066,0
1443.52856654457,0
1468.48447374847,0
1493.44038095238,0
1518.39628815629,0
1543.3521953602,0
1568.3081025641,0
1593.26400976801,0
1618.21991697192,0
1643.17582417582,0
1668.13173137973,0
1693.08763858364,0
1718.04354578755,0
1742.99945299145,0
1767.95536019536,0
1792.91126739927,0
1817.86717460317,0
1842.82308180708,0
1867.77898901099,0
1892.7348962149,0
1917.6908034188,0
1942.64671062271,0
1967.60261782662,0
1992.55852503053,0
2017.51443223443,0
2042.47033943834,0
2067.42624664225,0
2092.38215384615,0
2117.33806105006,0
2142.29396825397,0
2167.24987545788,0
2192.20578266178,0
2217.16168986569,0
2242.1175970696,0
2267.0735042735,0
2292.02941147741,0
2316.98531868132,0
2341.94122588523,0
2366.89713308913,0
2391.85304029304,0
2416.80894749695,0
2441.76485470085,0
2466.72076190476,0
2491.67666910867,0
2516.63257631258,0
2541.58848351648,0
2566.54439072039,0
2591.5002979243,0
2616.45620512821,0
2641.41211233211,0
2666.36801953602,0
2691.32392673993,0
2716.27983394383,0
2741.23574114774,0
2766.19164835165,0
2791.14755555556,0
2816.10346275946,0
2841.05936996337,0
2866.01527716728,0
2890.97118437118,0
2915.92709157509,0
2940.882998779,0
2965.83890598291,0
2990.79481318681,0
3015.75072039072,0
3040.70662759463,0
3065.66253479854,0
3090.61844200244,0
3115.57434920635,0
3140.53025641026,0
3165.48616361416,0
3190.44207081807,0
3215.39797802198,0
3240.35388522589,0
3265.30979242979,0
3290.2656996337,0
3315.22160683761,0
3340.17751404151,0
3365.13342124542,0
3390.08932844933,0
3415.04523565324,0
3440.00114285714,0
3464.95705006105,0
3489.91295726496,0
3514.86886446886,0
3539.82477167277,0
3564.78067887668,0
3589.73658608059,0
3614.69249328449,0
3639.6484004884,0
3664.60430769231,0
3689.56021489621,0
3714.51612210012,0
3739.47202930403,0
3764.42793650794,0
3789.38384371184,0
3814.33975091575,0
3839.29565811966,0
3864.25156532357,0
3889.20747252747,0
3914.16337973138,0
3939.11928693529,0
3964.07519413919,0
3989.0311013431,0
4013.98700854701,0
4038.94291575092,0
4063.89882295482,0
4088.85473015873,0
4113.81063736264,0
4138.76654456655,0
4163.72245177045,0
4188.67835897436,0
4213.63426617827,0
4238.59017338217,0
4263.54608058608,0
4288.50198778999,0
4313.4578949939,0
4338.4138021978,0
4363.36970940171,0
4388.32561660562,0
4413.28152380952,0
4438.23743101343,0
4463.19333821734,0
4488.14924542125,0
4513.10515262515,87.1968065772169
4538.06105982906,138.980526345605
4563.01696703297,117.7279278528
4587.97287423687,143.565879206536
4612.92878144078,129.389854626159
4637.88468864469,131.687882680727
4662.8405958486,145.738312485738
4687.7965030525,173.876914513588
4712.75241025641,171.460868331228
4737.70831746032,157.308651939632
4762.66422466423,176.026605819411
4787.62013186813,204.116940967277
4812.57603907204,164.173854863862
4837.53194627595,189.906772527937
4862.48785347985,224.998374396496
4887.44376068376,194.465293713054
4912.39966788767,227.192860514059
4937.35557509158,243.510789819146
4962.31148229548,222.368524384675
4987.26738949939,196.560692566995
5012.2232967033,257.324122524291
5037.1792039072,238.539872116768
5062.13511111111,287.568565263366
5087.09101831502,287.487748849937
5112.04692551893,306.101776617521
5137.00283272283,336.387394860337
5161.95873992674,303.602633944879
5186.91464713065,329.20657737647
5211.87055433455,380.475243707873
5236.82646153846,368.712150503325
5261.78236874237,377.954090484553
5286.73827594628,412.850714301148
5311.69418315018,382.43830374223
5336.65009035409,375.355818990468
5361.605997558,382.26347699886
5386.5619047619,424.125051154413
